year,quarter,realcons
1959,1,1707.4
1959,2,1733.7
1959,3,1751.8
1959,4,1753.7
1960,1,1770.5
1960,2,1792.9
1960,3,1785.8
1960,4,1788.2
1961,1,1787.7
1961,2,1814.3
1961,3,1823.1
1961,4,1859.6
1962,1,1879.4
1962,2,1902.5
1962,3,1917.9
1962,4,1945.1
1963,1,1958.2
1963,2,1976.9
1963,3,2003.8
1963,4,2020.6
1964,1,2060.5
1964,2,2096.7
1964,3,2135.2
1964,4,2141.2
1965,1,2188.8
1965,2,2213.0
1965,3,2251.0
1965,4,2314.3
1966,1,2348.5
1966,2,2354.5
1966,3,2381.5
1966,4,2391.4
1967,1,2405.3
1967,2,2438.1
1967,3,2450.6
1967,4,2465.7
1968,1,2524.6
1968,2,2563.3
1968,3,2611.5
1968,4,2623.5
1969,1,2652.9
1969,2,2669.8
1969,3,2682.7
1969,4,2704.1
1970,1,2720.7
1970,2,2733.2
1970,3,2757.1
1970,4,2749.6
1971,1,2802.2
1971,2,2827.9
1971,3,2850.4
1971,4,2897.8
1972,1,2936.5
1972,2,2992.6
1972,3,3038.8
1972,4,3110.1
1973,1,3167.0
1973,2,3165.4
1973,3,3176.7
1973,4,3167.4
1974,1,3139.7
1974,2,3150.6
1974,3,3163.6
1974,4,3117.3
1975,1,3143.4
1975,2,3195.8
1975,3,3241.4
1975,4,3275.7
1976,1,3341.2
1976,2,3371.8
1976,3,3407.5
1976,4,3451.8
1977,1,3491.3
1977,2,3510.6
1977,3,3544.1
1977,4,3597.5
1978,1,3618.5
1978,2,3695.9
1978,3,3711.4
1978,4,3741.3
1979,1,3760.2
1979,2,3758.0
1979,3,3794.9
1979,4,3805.0
1980,1,3798.4
1980,2,3712.2
1980,3,3752.0
1980,4,3802.0
1981,1,3822.8
1981,2,3822.8
1981,3,3838.3
1981,4,3809.3
1982,1,3833.9
1982,2,3847.7
1982,3,3877.2
1982,4,3947.9
1983,1,3986.6
1983,2,4065.7
1983,3,4137.6
1983,4,4203.2
1984,1,4239.2
1984,2,4299.9
1984,3,4333.0
1984,4,4390.1
1985,1,4464.6
1985,2,4505.2
1985,3,4590.8
1985,4,4600.9
1986,1,4639.3
1986,2,4688.7
1986,3,4770.7
1986,4,4799.4
1987,1,4792.1
1987,2,4856.3
1987,3,4910.4
1987,4,4922.2
1988,1,5004.4
1988,2,5040.8
1988,3,5080.6
1988,4,5140.4
1989,1,5159.3
1989,2,5182.4
1989,3,5236.1
1989,4,5261.7
1990,1,5303.3
1990,2,5320.8
1990,3,5341.0
1990,4,5299.5
1991,1,5284.4
1991,2,5324.7
1991,3,5345.0
1991,4,5342.6
1992,1,5434.5
1992,2,5466.7
1992,3,5527.1
1992,4,5594.6
1993,1,5617.2
1993,2,5671.1
1993,3,5732.7
1993,4,5783.7
1994,1,5848.1
1994,2,5891.5
1994,3,5938.7
1994,4,5997.3
1995,1,6004.3
1995,2,6053.5
1995,3,6107.6
1995,4,6150.6
1996,1,6206.9
1996,2,6277.1
1996,3,6314.6
1996,4,6366.1
1997,1,6430.2
1997,2,6456.2
1997,3,6566.0
1997,4,6641.1
1998,1,6707.2
1998,2,6822.6
1998,3,6913.1
1998,4,7019.1
1999,1,7088.3
1999,2,7199.9
1999,3,7286.4
1999,4,7389.2
2000,1,7501.3
2000,2,7571.8
2000,3,7645.9
2000,4,7713.5
2001,1,7744.3
2001,2,7773.5
2001,3,7807.7
2001,4,7930.0
2002,1,7957.3
2002,2,7997.8
2002,3,8052.0
2002,4,8080.6
2003,1,8122.3
2003,2,8197.8
2003,3,8312.1
2003,4,8358.0
2004,1,8437.6
2004,2,8483.2
2004,3,8555.8
2004,4,8654.2
2005,1,8719.0
2005,2,8802.9
2005,3,8865.6
2005,4,8888.5
2006,1,8986.6
2006,2,9035.0
2006,3,9090.7
2006,4,9181.6
2007,1,9265.1
2007,2,9291.5
2007,3,9335.6
2007,4,9363.6
2008,1,9349.6
2008,2,9351.0
2008,3,9267.7
2008,4,9195.3
2009,1,9209.2
2009,2,9189.0
2009,3,9256.0
